Month,Year,X2
3,1995,45.04729572
4,1995,51.50145565
5,1995,51.30149547
6,1995,58.02504725
7,1995,61.61529119
8,1995,71.38416556
9,1995,67.86225647
10,1995,72.21807575
11,1995,79.71545173
12,1995,71.14164441
1,1996,67.34422749
2,1996,49.05843124
3,1996,49.10238411
4,1996,56.40047226
5,1996,59.97463878
6,1996,65.48920029
7,1996,75.25277007
8,1996,77.17854261
9,1996,77.21947999
10,1996,84.74105522
11,1996,85.39860174
12,1996,60.40623604
1,1997,38.24080631
2,1997,48.37199953
3,1997,60.02380681
4,1997,71.85983353
5,1997,75.28478108
6,1997,78.65059421
7,1997,78.61946419
8,1997,76.90188394
9,1997,81.80156605
10,1997,88.54770252
11,1997,90.19305474
12,1997,76.11470818
1,1998,64.28448869
2,1998,35.35349601
3,1998,49.37665295
4,1998,50.15621249
5,1998,54.04922711
6,1998,52.34967072
7,1998,58.75844948
8,1998,66.77908562
9,1998,65.81005229
10,1998,71.49240741
11,1998,72.33857336
12,1998,58.58300364
1,1999,66.07354775
2,1999,50.18178276
3,1999,50.8118166
4,1999,57.85319552
5,1999,63.76730105
6,1999,70.03948195
7,1999,75.88374153
8,1999,77.9822418
9,1999,84.54240673
10,1999,88.40624061
11,1999,87.69262826
12,1999,80.94040817
1,2000,78.83940185
2,2000,53.00964882
3,2000,49.91519085
4,2000,64.84954786
5,2000,65.17003511
6,2000,76.2136004
7,2000,78.58918177
8,2000,79.186739
9,2000,83.36046498
10,2000,86.32341044
11,2000,88.04771447
12,2000,89.31118712
1,2001,83.56242763
2,2001,75.1779565
3,2001,65.42021152
4,2001,75.11313539
5,2001,79.11228095
6,2001,81.77441639
7,2001,85.29252648
8,2001,87.55931738
9,2001,89.05003419
10,2001,91.44316126
11,2001,91.16657757
12,2001,74.0635011
1,2002,61.91087086
2,2002,74.15149456
3,2002,69.31008037
4,2002,71.45901502
5,2002,72.44127019
6,2002,78.62362689
7,2002,83.39486662
8,2002,84.73600957
9,2002,87.53606968
10,2002,89.43363514
11,2002,88.08127584
12,2002,79.42420074
1,2003,57.95128677
2,2003,63.3130706
3,2003,64.80306894
4,2003,67.30512724
5,2003,56.62123937
6,2003,68.87557355
7,2003,77.87268561
8,2003,77.02818303
9,2003,83.81240046
10,2003,89.69794519
11,2003,89.03016388
12,2003,78.03949934
1,2004,62.29849037
2,2004,61.39307654
3,2004,55.0943059
4,2004,64.94502852
5,2004,73.18930404
6,2004,83.64351689
7,2004,82.21174516
8,2004,81.95519421
9,2004,83.59588628
10,2004,85.02858684
11,2004,87.16345762
12,2004,84.40831366
1,2005,64.28939003
2,2005,64.41817629
3,2005,57.68562808
4,2005,59.53358449
5,2005,55.96195317
6,2005,59.50508402
7,2005,72.16799298
8,2005,82.84430777
9,2005,81.83103291
10,2005,84.2906018
11,2005,87.83235481
12,2005,77.54729245
1,2006,NA
2,2006,56.4755188
3,2006,51.43620279
4,2006,NA
5,2006,50.89457545
6,2006,58.55861786
7,2006,74.24879884
8,2006,79.30670134
9,2006,79.41533704
10,2006,83.13011643
11,2006,86.73553379
12,2006,84.21824709
1,2007,79.8005097
2,2007,71.88195846
3,2007,67.57096672
4,2007,72.90527332
5,2007,74.00946204
6,2007,80.31573962
7,2007,82.44611065
8,2007,84.98910645
9,2007,84.7939519
10,2007,87.43317
11,2007,88.40237372
12,2007,86.26708461
1,2008,72.55621036
2,2008,61.25713336
3,2008,68.08525021
4,2008,75.93555993
5,2008,79.27664003
6,2008,82.67971732
7,2008,86.40146211
8,2008,89.85654457
9,2008,88.66912201
10,2008,90.55410511
11,2008,90.86081143
12,2008,91.39098059
1,2009,87.64734258
2,2009,77.70997638
3,2009,64.21536624
4,2009,74.33344404
5,2009,72.43609961
6,2009,78.49717236
7,2009,83.39762242
8,2009,85.43359425
9,2009,87.15173822
10,2009,87.06000743
11,2009,87.68479266
12,2009,89.47689087
1,2010,78.76282927
2,2010,60.81538075
3,2010,65.12193254
4,2010,67.1786535
5,2010,64.6824205
6,2010,68.3667467
7,2010,80.06843927
8,2010,82.67370381
9,2010,84.4042707
10,2010,85.86201592
11,2010,86.74687412
12,2010,68.56698703
1,2011,60.71916597
2,2011,65.6975949
3,2011,55.61939212
4,2011,51.77991154
5,2011,56.80385144
6,2011,56.96128465
7,2011,65.50952011
8,2011,77.1181714
9,2011,74.55622241
10,2011,73.52568019
11,2011,80.02350275
12,2011,82.2827731
1,2012,83.15263998
2,2012,75.62991451
3,2012,71.28673159
4,2012,61.23535577
5,2012,70.2252801
6,2012,81.49759008
7,2012,81.61261234
8,2012,82.5471135
9,2012,84.55996529
1,2013,65.00387097
2,2013,70.34214286
3,2013,75.32774194
4,2013,74.721
5,2013,76.2716129
6,2013,78.22233333
7,2013,81.45677419
8,2013,83.71
9,2013,83.734
10,2013,85.93129032
11,2013,85.68066667
12,2013,84.43129032
1,2014,85.39064516
2,2014,80.69571429
3,2014,76.66451613
4,2014,79.33733333
5,2014,84.14516129
6,2014,85.04566667
7,2014,85.6316129
8,2014,88.12193548
9,2014,89.49266667
10,2014,88.23516129
11,2014,84.40433333
12,2014,74.18419355
1,2015,75.30774194
2,2015,76.54928571
3,2015,79.68774194
4,2015,81.26733333
5,2015,82.37354839
6,2015,83.925
7,2015,85.38806452
8,2015,85.57451613
9,2015,86.105
10,2015,85.92322581
11,2015,85.72266667
12,2015,82.66741935
1,2016,75.15806452
2,2016,68.32551724
3,2016,64.45451613
4,2016,63.34233333
5,2016,71.40548387
6,2016,77.30133333
7,2016,79.48774194
8,2016,80.31580645
9,2016,83.596
10,2016,83.95645161
11,2016,81.106
12,2016,73.74645161
1,2017,57.01032258
2,2017,44.66571429
3,2017,43.8416129
4,2017,48.00533333
5,2017,51.16483871
6,2017,59.399
7,2017,71.19258065
8,2017,76.46903226
9,2017,74.53733333
10,2017,75.55225806
11,2017,78.09366667
12,2017,79.92516129
1,2018,75.60677419
2,2018,73.91357143
3,2018,71.27129032
4,2018,62.538
5,2018,69.69967742
6,2018,76.523
7,2018,80.5316129
8,2018,81.98774194
9,2018,82.75566667
10,2018,83.84483871
11,2018,84.86466667
12,2018,79.62870968
1,2019,71.94967742
2,2019,60.00428571
3,2019,50.24354839
4,2019,50.444
5,2019,55.56645161
6,2019,59.23166667
7,2019,72.6216129
8,2019,76.40709677
9,2019,74.60966667
10,2019,73.79419355
11,2019,77.68233333
12,2019,75.62677419
1,2020,75.25709677
2,2020,74.02
3,2020,75.3583871
4,2020,75.768
5,2020,77.90516129
6,2020,79.057
7,2020,83.25677419
8,2020,87.58193548
9,2020,87.13333333
10,2020,87.72354839
11,2020,85.226
12,2020,83.47
1,2021,82.68451613
2,2021,77.60642857
3,2021,78.55516129
4,2021,79.687
5,2021,83.86225806
6,2021,88.00533333
7,2021,89.2916129
8,2021,88.79677419
9,2021,89.33733333
10,2021,86.77645161
11,2021,84.97466667
12,2021,82.17032258
1,2022,72.69580645
2,2022,75.98964286
3,2022,76.3483871
4,2022,79.44833333
5,2022,83.28870968
6,2022,85.011
7,2022,83.8816129
8,2022,87.58903226
9,2022,89.23033333
