Station,Microcystis,Temperature,Secchi,Salinity,N,Northing,Easting,notes,Region
DHAB001,2.133333333,20.404,NA,2.186666667,15,606379.3274,4211543.502,NA,LowerSac
DHAB002,2.3,20.82,NA,0.96,15,612561.1579,4218328.196,NA,Lower SJ
DHAB003,2.666666667,20.95714286,NA,1.418666667,15,610091.0538,4208764.004,NA,LowerSac
DHAB004,1,21.62666667,NA,0.093333333,15,621757.36,4224878.869,NA,UpperSac
DHAB005,1.2,21.00666667,NA,0.106666667,15,617539.7425,4228253.082,NA,Cache
DHAB006,1.2,20.67333333,NA,0.1,15,614686.2132,4233698.245,NA,Cache
DHAB007,2.9,21.32666667,NA,0.44,15,620780.6021,4212101.864,NA,Franks
DHAB008,3.178571429,22.35333333,NA,0.366666667,15,625286.6492,4202796.352,NA,Franks
DHAB009,3,23.35625,NA,0.25625,16,636637.1098,4206532.734,NA,Stockton
DHAB010,3.214285714,22.84,NA,0.266666667,15,629259.582,4202081.142,NA,Mildred
DRB,1.5,22.73664296,NA,0.251111111,14,621194.1388,4204133.533,NA,Franks
FAL,2.75,21.10687494,0.0179,0.383333334,17,616936.8717,4212807.965,NA,Franks
FCT,2.588235294,21.32056255,0.01675,0.278181818,17,618604.6946,4213957.769,NA,Franks
GCT,1.333333333,21.45225009,NA,0.240000001,4,636436.4763,4186988.166,NA,SDelta
GLC,2.294117647,22.12238891,0.00975,0.209090909,18,628089.7863,4186855.785,NA,Clifton
GLE,1.684210526,22.38774996,0.0122,0.21125,20,637754.0459,4187025.563,NA,SDelta
HCHM,2.333333333,21.76415371,NA,0.263333333,13,624607.6063,4203845.67,NA,Franks
HLT,2.625,22.30647054,0.0145,0.167142857,17,630734.2299,4207202.975,NA,Mildred
HOL,2.533333333,21.79231243,0.0151,0.257142857,17,624462.074,4208518.962,NA,Franks
MD10A,2.037037037,23.77384615,174.3076923,0.101447418,27,638653.1806,4211682.225,NA,Stockton
MHO,1.4375,21.96076466,0.0117,0.210833332,17,642186.0038,4193309.322,NA,SDelta
MIR,1.055555556,20.0435263,NA,0.064444444,19,616741.7842,4232844.927,NA,Cache
MOK,1.4,21.16012491,0.027666667,0.07,16,624803.9478,4218774.547,NA,East
MRU,1.235294118,21.38633322,0.0104,0.215384614,18,642049.9883,4188618.245,NA,SDelta
MRX,1.875,22.20958824,0.0081875,0.198333333,17,634778.6361,4193766.004,NA,SDelta
MUP,2.333333333,21.67274998,NA,0.099999999,4,632918.2894,4194773.729,NA,Clifton
NZ002,1,19.7616,62.72,20.27425964,25,569571.6704,4212799.841,NA,NA
NZ002,1,19.7616,62.72,20.27425964,25,568842.7311,4213349.828,NA,NA
NZ004,1,20.00115385,76.46153846,16.79769284,26,573867.4574,4209385.39,NA,NA
NZ004,1,20.00115385,76.46153846,16.79769284,26,573574.1602,4210114.367,NA,NA
NZ032,1.32,21.3364,53.12,6.991141032,25,585747.1261,4225119.865,NA,ESuisun
NZ032,1.32,21.3364,53.12,6.991141032,25,585770.0573,4225160.92,NA,ESuisun
NZ068,1.6,21.84263158,155.6842105,0.089984332,20,614837.454,4222461.504,NA,Lower SJ
NZ325,1,19.8684,80.48,21.336783,25,562385.0273,4212464.276,NA,NA
NZ325,1,19.8684,80.48,21.336783,25,562120.6924,4212484.697,NA,NA
NZS42,1.36,21.188,47.2,6.935659879,25,583413.7801,4226265.193,NA,ESuisun
NZS42,1.36,21.188,47.2,6.935659879,25,583446.7492,4226277.246,NA,ESuisun
OAD,1,20.52000046,NA,0.130000001,4,628324.0296,4185763.132,NA,Clifton
OBI,2.5,22.21135295,0.016,0.224444444,17,625369.6051,4203334.019,NA,Franks
ODM,2.055555556,22.24605263,0.015916667,0.208181817,19,628127.0905,4185840.192,NA,Clifton
OH1,1.421052632,22.29559999,0.019833333,0.194000002,20,646901.7823,4185779.269,NA,SDelta
ORI,2.625,22.8878125,0.0125,0.216,16,628910.7008,4188164.189,NA,Clifton
ORM,1.666666667,22.08968745,0.008875,0.250909091,16,630537.1844,4183976.773,NA,SDelta
ORQ,2.5,22.04388235,0.01564,0.2,17,625969.5641,4209796.572,NA,Franks
ORX,1.7,22.13674997,0.01425,0.210000001,20,642021.8948,4186071.183,NA,SDelta
OSJ,2.5625,21.54247058,0.016614286,0.224999999,17,624696.5069,4214674.112,NA,Mid SJ
P8,2.518518519,23.93653846,124.08,0.257114943,27,642076.4575,4204627.36,NA,Stockton
PDC,1.583333333,22.54472217,0.011833333,0.308333332,18,639777.9908,4185040.769,NA,SDelta
PDUP,1.727272727,21.41210526,NA,0.898181807,19,643228.342,4184985.48,NA,SDelta
RSCC,1.363636364,22.5195834,NA,1.461428571,12,619463.0122,4204046.127,NA,Franks
SGA,1.6,21.90842109,0.007,0.323999997,19,638981.8534,4184006.192,NA,SDelta
SJD,1.571428571,22.43036849,0.003,0.248333335,19,648060.2565,4187435.707,NA,SDelta
SOI,1.176470588,20.39155546,NA,0.063,18,617639.7735,4226149.791,NA,UpperSac
Stockton1,2.25,NA,NA,NA,4,643087.832,4203566.113,NA,Stockton
Stockton2,2,NA,NA,NA,4,645957.0713,4201779.799,NA,Stockton
Stockton3,2.875,NA,NA,NA,4,647965.6432,4201767.033,NA,Stockton
Stockton4,3.5,NA,NA,NA,4,648801.2588,4201974.215,NA,Stockton
Stockton5,4.625,NA,NA,NA,4,649765.0356,4202043.969,NA,Stockton
SXS,1.117647059,19.94733337,NA,0.078,18,619280.6525,4227914.133,NA,Cache
TPI,1.230769231,21.38757887,NA,0.335555557,19,639255.1761,4183703.146,NA,SDelta
TRN,2.5625,22.72652935,0.0169,0.151,17,635749.6516,4206114.039,NA,Stockton
TSL,2.529411765,21.16718743,0.011333333,0.42,17,615191.3712,4218085.765,NA,Mid SJ
TWA,1.304347826,21.53203447,0.016666667,0.288421053,29,635798.2115,4185059.934,NA,SDelta
VCU,2.705882353,22.70572216,0.0127,0.166923077,18,629291.451,4192514.445,NA,Clifton
WCI,2.5,23.07243744,0.010875,0.218181818,16,627246.9155,4188116.475,NA,Clifton
WDC,2.666666667,22.34309087,NA,0.2,11,623431.7462,4202751.504,NA,Franks
